keys,es,en
menu_btn_start,Iniciar Juego,Start Game
menu_btn_credits,Creditos,Credits
menu_btn_options,Opciones,Options
menu_btn_exit,Salir,Exit
options_tabbar_audio,Audio,Audio
options_tabbar_video,Resolución,Video
oprions_tabbar_controls,Controles,Controls
options_tabbar_language,Idioma,Language
options_audio_master,Maestro,Master
options_audio_music,Música,Music
options_audio_sfx,Efectos de sonido,Sound effects
options_language_label_select,Selecciona tu lenguaje,Select a language
options_btn_back,Volver,Back
label_level_select,[wave amp 50.0 freq = 2] ¡SELECCIONA UN NIVEL!,[wave amp 50.0 freq = 2] SELECT A LEVEL!
label_tip_level_select,Presiona ENTER para continuar.,Press ENTER to enter
label_game_paused,[wave amp=50.0 freq=2.0] ¡PAUSA! [/wave],[wave amp=50.0 freq=2.0] GAME PAUSED![/wave]
pause_btn_resume,Resumir,Resume
pause_btn_restart,Reiniciar,Restart
pause_btn_options,Opciones,Options
pause_btn_menu,Volver a Menu,Back Menu
options_btn_reset_default,Reiniciar por defecto,Reset to efault
label_yourenotsupposedtobehere,NO DEBERÍAS ESTAR AQUÍ,YOU'RE NOT SUPPOSED TO BE HERE
